product_name,retail_price,discounted_price,overall_rating,category
Wolfie LaceRed117 Women's Push-up Bra,1099.0,320.0,5.0,Clothing
Younky Women's Sports Bra,999.0,199.0,4.0,Clothing
Wolfie Neonbrapeach101 Women's Push-up Bra,999.0,320.0,5.0,Clothing
Younky Non_Padded Women's Full Coverage Bra,999.0,349.0,4.0,Clothing
Tia by Ten on Ten Velvetina Women's Push-up Bra,1199.0,500.0,5.0,Clothing
Urbaano Bridal Bra Pack Women's Full Coverage Bra,1140.0,489.0,5.0,Clothing
Ladyland Liz Women's Full Coverage Bra,799.0,339.0,5.0,Clothing
Urbaano Women's Full Coverage Bra,900.0,399.0,5.0,Clothing
PrettySecrets Fashion Women's Push-up Bra,899.0,809.0,5.0,Clothing
Hemali Green Women's T-Shirt Bra,1200.0,399.0,4.0,Clothing
Nutex by Insaler Women's Full Coverage Bra,650.0,299.0,5.0,Clothing
Magiq Nice Merry Women's Push-up Bra,280.0,120.0,5.0,Clothing
Ladyland Dia Women's Full Coverage Bra,749.0,299.0,5.0,Clothing
Wolfie Polkadotturqoise105 Women's Push-up Bra,999.0,320.0,5.0,Clothing
Wolfie RibbonMaroon118 Women's Push-up Bra,1099.0,320.0,5.0,Clothing
Ladyland BOBBY Women's Full Coverage Bra,749.0,299.0,5.0,Clothing
Wolfie Neonbrablue103 Women's Push-up Bra,999.0,320.0,5.0,Clothing
Wolfie Designred110 Women's Push-up Bra,999.0,320.0,5.0,Clothing
Wolfie Neonbrapink102 Women's Push-up Bra,999.0,320.0,5.0,Clothing
Status Women's Minimizer Bra,500.0,225.0,4.0,Clothing
Floozy Its My Choice Women's Push-up Bra,1299.0,279.0,5.0,Clothing
Wolfie Pro Women's Push-up Bra,999.0,320.0,5.0,Clothing
Garfield Casual Short Sleeve Printed Women's Top,549.0,219.0,5.0,Clothing
Fashion205 Casual 3/4 Sleeve Printed Women's Top,1050.0,420.0,4.0,Clothing
Harpa Casual Sleeveless Solid Women's Top,999.0,399.0,5.0,Clothing
SB RETAILS SB02 Flash,999.0,249.0,5.0,Cameras & Accessories
Sport Silicone Red Swimming Cap,499.0,250.0,5.0,Sports & Fitness
Hitway Lace Up,499.0,449.0,4.0,Footwear
Bond Beatz Zipper With Excellent Sound Wired Headset,2499.0,210.0,5.0,Mobiles & Accessories
Xerobic 75 cm Gym Ball,1349.0,719.0,5.0,Sports & Fitness
Xerobic 85 cm Gym Ball,1499.0,809.0,5.0,Sports & Fitness
ShopMantra Che Guevara Revolution 2015 Desk Calendar,1195.0,495.0,4.0,Pens & Stationery
Passion By Pragya Women's Maxi Dress,1859.0,829.0,5.0,Clothing
Infiniti Red Loafers,1398.0,499.0,4.0,Footwear
Posh Women's Layered Dress,998.0,998.0,5.0,Clothing
TEN Smart Reds Loafers,1199.0,399.0,4.0,Footwear
Funku Fashion Loafers,699.0,399.0,5.0,Footwear
La Briza Vegas Loafers,1599.0,800.0,4.5,Footwear
Roha Collections Womens Loafers,1299.0,599.0,5.0,Footwear
Funku Fashion Loafers,799.0,499.0,5.0,Footwear
Danilo Official Arsenal FC 2015 Wall Calendar,449.0,199.0,4.3,Pens & Stationery
Prithish Ur'E The Best Dad Ever Double Colour Ceramic Mug,599.0,225.0,5.0,Kitchen & Dining
"Prithish Crazy World, Gotta Smile Ceramic Mug",499.0,175.0,5.0,Kitchen & Dining
Prithish Super Hero Without Cape Ceramic Mug,599.0,225.0,5.0,Kitchen & Dining
Prithish Gemini Black Ceramic Mug,699.0,275.0,5.0,Kitchen & Dining
Prithish Aries Double Color Ceramic Mug,599.0,225.0,5.0,Kitchen & Dining
Prithish Oh Crap ! She's Up Ceramic Mug,499.0,175.0,5.0,Kitchen & Dining
Prithish This Princess Is Guarded Ceramic Mug,599.0,225.0,5.0,Kitchen & Dining
Prithish Aries Black Ceramic Mug,699.0,275.0,5.0,Kitchen & Dining
Prithish Happy Birthday Ceramic Mug,499.0,175.0,5.0,Kitchen & Dining
Prithish Man Will Fix It Ceramic Mug,499.0,175.0,4.0,Kitchen & Dining
Prithish Leo Black Ceramic Mug,699.0,275.0,5.0,Kitchen & Dining
Prithish Independence Day Design 9 Double Color Ceramic Mug,599.0,225.0,5.0,Kitchen & Dining
Prithish I'm A Mom. What'S Your Superpower? Red with Blue Bubbles Double Coloured Ceramic Mug,599.0,225.0,5.0,Kitchen & Dining
Prithish I'm A Mom. What'S Your Superpower? Multicoloured Bubbles Black Ceramic Mug,699.0,299.0,5.0,Kitchen & Dining
Prithish You're The One Double Color Ceramic Mug,599.0,225.0,5.0,Kitchen & Dining
Prithish Magis is Believing in Yourself Double Color Ceramic Mug,599.0,225.0,5.0,Kitchen & Dining
Prithish Pschedelic Collection 1 Ceramic Mug,599.0,225.0,5.0,Kitchen & Dining
Prithish Virgo Ceramic Mug,499.0,175.0,5.0,Kitchen & Dining
"Prithish I Love Dad, Father's Day Ceramic Mug",499.0,175.0,5.0,Kitchen & Dining
Prithish Forever in Love with You Ceramic Mug,499.0,175.0,5.0,Kitchen & Dining
Filtre Roto-pizza Wheel Pizza Cutter,399.0,289.0,4.0,Kitchen & Dining
3a Autocare Rubber Mat Car Mat Suzuki New Swift,1259.0,474.0,4.0,Automotive
Purpledip Showpiece  -  12 cm,1250.0,638.0,4.5,Home Decor & Festive Needs
"Voylla Metal, Alloy Necklace",379.0,189.0,5.0,Jewellery
Voylla Precious Simplicity Plain Sterling Silver Chain,599.0,309.0,4.0,Jewellery
"Vinnis Pretty Please Metal, Acrylic, Alloy Necklace",499.0,325.0,5.0,Jewellery
Apex Rolling Pizza Cutter,199.0,69.0,4.0,Kitchen & Dining
Womens Trendz Half Jhaler Panadi Thushi Crystal Yellow Gold Plated Alloy Necklace,1980.0,470.0,5.0,Jewellery
Jhondeal.com Wheel Pizza Cutter,199.0,149.0,4.0,Kitchen & Dining
"Village Handicrafts Aluminum, Ceramic Necklace",315.0,315.0,5.0,Jewellery
"Vinnis Alloy, Acrylic Necklace",399.0,299.0,4.7,Jewellery
Zakaah Jewels Sterling Silver Plated Stone Necklace,999.0,499.0,5.0,Jewellery
"Vinnis Pretty Please Metal, Acrylic, Alloy Necklace",499.0,245.0,5.0,Jewellery
Hommate Wheel Pizza Cutter,499.0,299.0,5.0,Kitchen & Dining
Aeoss Portable Car Air Vent Mount For Mobiles Phones Black,499.0,224.0,4.0,Automotive
"Voylla Metal, Alloy Necklace",490.0,400.0,5.0,Jewellery
Ndura Tawa 28 cm diameter,795.0,469.0,4.0,Kitchen & Dining
Tosiba Kadhai 500 ML,500.0,310.0,5.0,Kitchen & Dining
Gear X Sports Mount 2,1299.0,950.0,4.1,Automotive
Ambitione Car Holder,599.0,175.0,5.0,Automotive
Sygtech Windshield Car Cradle Mount Phone Holder For Samsung S5,599.0,399.0,4.3,Automotive
Trinketbag Red Tie Alloy Necklace,499.0,349.0,5.0,Jewellery
CookAid Stainless Steel with Lid Kadhai 1.2 L,759.0,759.0,5.0,Kitchen & Dining
Aeoss Bike Phone Support Mobile holder,499.0,324.0,4.6,Automotive
